day,category,count
35,Listening Related Issues,0
35,Content Quality Issues,0
35,User Experience Issues,0
35,Support & Service Issues,0
35,Localization Issues,0
38,User Experience Issues,1
38,Listening Related Issues,1
38,Ads Related Issues,0
38,Coins Related Issues,0
38,Content Discovery Issues,0
38,Content Quality Issues,0
38,Support & Service Issues,0
38,Localization Issues,0
40,Coins Related Issues,2
40,Support & Service Issues,1
40,Ads Related Issues,0
40,Content Discovery Issues,0
40,Listening Related Issues,0
40,Content Quality Issues,0
40,User Experience Issues,0
40,Localization Issues,0
41,User Experience Issues,1
41,Ads Related Issues,0
41,Coins Related Issues,0
41,Content Discovery Issues,0
41,Listening Related Issues,0
41,Content Quality Issues,0
41,Support & Service Issues,0
41,Localization Issues,0
43,User Experience Issues,2
43,Ads Related Issues,0
43,Coins Related Issues,0
43,Content Discovery Issues,0
43,Listening Related Issues,0
43,Content Quality Issues,0
43,Support & Service Issues,0
43,Localization Issues,0
45,Coins Related Issues,2
45,Ads Related Issues,0
45,Content Discovery Issues,0
45,Listening Related Issues,0
45,Content Quality Issues,0
45,User Experience Issues,0
45,Support & Service Issues,0
45,Localization Issues,0
46,User Experience Issues,1
46,Support & Service Issues,1
46,Coins Related Issues,1
46,Ads Related Issues,0
46,Content Discovery Issues,0
46,Listening Related Issues,0
46,Content Quality Issues,0
46,Localization Issues,0
47,Coins Related Issues,1
47,Ads Related Issues,0
47,Content Discovery Issues,0
47,Listening Related Issues,0
47,Content Quality Issues,0
47,User Experience Issues,0
47,Support & Service Issues,0
47,Localization Issues,0
48,Coins Related Issues,1
48,Listening Related Issues,1
48,User Experience Issues,1
48,Ads Related Issues,0
48,Content Discovery Issues,0
48,Content Quality Issues,0
48,Support & Service Issues,0
48,Localization Issues,0
50,Coins Related Issues,1
50,Ads Related Issues,0
50,Content Discovery Issues,0
50,Listening Related Issues,0
50,Content Quality Issues,0
50,User Experience Issues,0
50,Support & Service Issues,0
50,Localization Issues,0
51,User Experience Issues,1
51,Ads Related Issues,0
51,Coins Related Issues,0
51,Content Discovery Issues,0
51,Listening Related Issues,0
51,Content Quality Issues,0
51,Support & Service Issues,0
51,Localization Issues,0
52,Coins Related Issues,3
52,Ads Related Issues,0
52,Content Discovery Issues,0
52,Listening Related Issues,0
52,Content Quality Issues,0
52,User Experience Issues,0
52,Support & Service Issues,0
52,Localization Issues,0
54,Coins Related Issues,1
54,Listening Related Issues,1
54,Ads Related Issues,0
54,Content Discovery Issues,0
54,Content Quality Issues,0
54,User Experience Issues,0
54,Support & Service Issues,0
54,Localization Issues,0
55,Coins Related Issues,1
55,Ads Related Issues,0
55,Content Discovery Issues,0
55,Listening Related Issues,0
55,Content Quality Issues,0
55,User Experience Issues,0
55,Support & Service Issues,0
55,Localization Issues,0
57,Listening Related Issues,1
57,Ads Related Issues,0
57,Coins Related Issues,0
57,Content Discovery Issues,0
57,Content Quality Issues,0
57,User Experience Issues,0
